method,score,call_rate,detector_calls,detector_call_savings,split,subset,samples,tp,fp,tn,fn,accuracy,precision,recall_tpr,fpr,tnr,f1,balanced_accuracy,mcc,yes_rate
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,random,negative_absent_plain,660,0,9,651,0,0.9863636363636363,0.0,0.0,0.013636363636363636,0.9863636363636363,0.0,0.49318181818181817,0.0,0.013636363636363636
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,macro,all,9000,3658,390,4110,842,0.8631111111111112,0.9036561264822134,0.8128888888888889,0.08666666666666667,0.9133333333333333,0.8558727187646233,0.8631111111111112,0.7299136374611771,0.4497777777777778
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,macro,positive,4500,3658,0,0,842,0.8128888888888889,1.0,0.8128888888888889,0.0,0.0,0.8967884285364061,0.40644444444444444,0.0,0.8128888888888889
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,macro,negative,4500,0,390,4110,0,0.9133333333333333,0.0,0.0,0.08666666666666667,0.9133333333333333,0.0,0.45666666666666667,0.0,0.08666666666666667
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,macro,negative_related_present,3092,0,351,2741,0,0.8864812419146184,0.0,0.0,0.11351875808538163,0.8864812419146184,0.0,0.4432406209573092,0.0,0.11351875808538163
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,macro,negative_absent_plain,1408,0,39,1369,0,0.9723011363636364,0.0,0.0,0.027698863636363636,0.9723011363636364,0.0,0.4861505681818182,0.0,0.027698863636363636
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,adversarial,all,3000,1214,201,1299,286,0.8376666666666667,0.8579505300353357,0.8093333333333333,0.134,0.866,0.832933104631218,0.8376666666666667,0.6764202368460626,0.4716666666666667
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,adversarial,positive,1500,1214,0,0,286,0.8093333333333333,1.0,0.8093333333333333,0.0,0.0,0.894620486366986,0.4046666666666667,0.0,0.8093333333333333
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,adversarial,negative,1500,0,201,1299,0,0.866,0.0,0.0,0.134,0.866,0.0,0.433,0.0,0.134
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,adversarial,negative_related_present,1272,0,191,1081,0,0.8498427672955975,0.0,0.0,0.1501572327044025,0.8498427672955975,0.0,0.42492138364779874,0.0,0.1501572327044025
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,adversarial,negative_absent_plain,228,0,10,218,0,0.956140350877193,0.0,0.0,0.043859649122807015,0.956140350877193,0.0,0.4780701754385965,0.0,0.043859649122807015
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,popular,all,3000,1215,96,1404,285,0.873,0.9267734553775744,0.81,0.064,0.936,0.8644610458911419,0.873,0.7519932042506778,0.437
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,popular,positive,1500,1215,0,0,285,0.81,1.0,0.81,0.0,0.0,0.8950276243093923,0.405,0.0,0.81
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,popular,negative,1500,0,96,1404,0,0.936,0.0,0.0,0.064,0.936,0.0,0.468,0.0,0.064
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,popular,negative_related_present,980,0,84,896,0,0.9142857142857143,0.0,0.0,0.08571428571428572,0.9142857142857143,0.0,0.45714285714285713,0.0,0.08571428571428572
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,popular,negative_absent_plain,520,0,12,508,0,0.9769230769230769,0.0,0.0,0.023076923076923078,0.9769230769230769,0.0,0.48846153846153845,0.0,0.023076923076923078
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,random,all,3000,1215,41,1459,285,0.8913333333333333,0.9673566878980892,0.81,0.027333333333333334,0.9726666666666667,0.8817126269956459,0.8913333333333333,0.7932316548449864,0.4186666666666667
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,random,positive,1500,1215,0,0,285,0.81,1.0,0.81,0.0,0.0,0.8950276243093923,0.405,0.0,0.81
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,random,negative,1500,0,41,1459,0,0.9726666666666667,0.0,0.0,0.027333333333333334,0.9726666666666667,0.0,0.48633333333333334,0.0,0.027333333333333334
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,random,negative_related_present,840,0,35,805,0,0.9583333333333334,0.0,0.0,0.041666666666666664,0.9583333333333334,0.0,0.4791666666666667,0.0,0.041666666666666664
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,random,negative_absent_plain,660,0,6,654,0,0.990909090909091,0.0,0.0,0.00909090909090909,0.990909090909091,0.0,0.4954545454545455,0.0,0.00909090909090909
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,macro,all,9000,3644,338,4162,856,0.8673333333333333,0.9151180311401306,0.8097777777777778,0.07511111111111111,0.9248888888888889,0.8592313133694883,0.8673333333333333,0.7395829539510217,0.4424444444444444
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,macro,positive,4500,3644,0,0,856,0.8097777777777778,1.0,0.8097777777777778,0.0,0.0,0.8948919449901769,0.4048888888888889,0.0,0.8097777777777778
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,macro,negative,4500,0,338,4162,0,0.9248888888888889,0.0,0.0,0.07511111111111111,0.9248888888888889,0.0,0.46244444444444444,0.0,0.07511111111111111
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,macro,negative_related_present,3092,0,310,2782,0,0.8997412677878396,0.0,0.0,0.10025873221216042,0.8997412677878396,0.0,0.4498706338939198,0.0,0.10025873221216042
base_yes_selected,lh_shape_pope_layers_22_31,0.1,405,0.955,macro,negative_absent_plain,1408,0,28,1380,0,0.9801136363636364,0.0,0.0,0.019886363636363636,0.9801136363636364,0.0,0.4900568181818182,0.0,0.019886363636363636
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,adversarial,all,3000,1218,212,1288,282,0.8353333333333334,0.8517482517482518,0.812,0.14133333333333334,0.8586666666666667,0.8313993174061434,0.8353333333333334,0.6713981431100662,0.4766666666666667
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,adversarial,positive,1500,1218,0,0,282,0.812,1.0,0.812,0.0,0.0,0.8962472406181016,0.406,0.0,0.812
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,adversarial,negative,1500,0,212,1288,0,0.8586666666666667,0.0,0.0,0.14133333333333334,0.8586666666666667,0.0,0.42933333333333334,0.0,0.14133333333333334
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,adversarial,negative_related_present,1272,0,200,1072,0,0.8427672955974843,0.0,0.0,0.15723270440251572,0.8427672955974843,0.0,0.42138364779874216,0.0,0.15723270440251572
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,adversarial,negative_absent_plain,228,0,12,216,0,0.9473684210526315,0.0,0.0,0.05263157894736842,0.9473684210526315,0.0,0.47368421052631576,0.0,0.05263157894736842
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,popular,all,3000,1219,108,1392,281,0.8703333333333333,0.9186134137151469,0.8126666666666666,0.072,0.928,0.8623983020870181,0.8703333333333334,0.7456424538763519,0.44233333333333336
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,popular,positive,1500,1219,0,0,281,0.8126666666666666,1.0,0.8126666666666666,0.0,0.0,0.8966531813166605,0.4063333333333333,0.0,0.8126666666666666
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,popular,negative,1500,0,108,1392,0,0.928,0.0,0.0,0.072,0.928,0.0,0.464,0.0,0.072
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,popular,negative_related_present,980,0,92,888,0,0.9061224489795918,0.0,0.0,0.09387755102040816,0.9061224489795918,0.0,0.4530612244897959,0.0,0.09387755102040816
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,popular,negative_absent_plain,520,0,16,504,0,0.9692307692307692,0.0,0.0,0.03076923076923077,0.9692307692307692,0.0,0.4846153846153846,0.0,0.03076923076923077
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,random,all,3000,1219,49,1451,281,0.89,0.9613564668769716,0.8126666666666666,0.03266666666666666,0.9673333333333334,0.8807803468208093,0.89,0.7895002850241306,0.4226666666666667
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,random,positive,1500,1219,0,0,281,0.8126666666666666,1.0,0.8126666666666666,0.0,0.0,0.8966531813166605,0.4063333333333333,0.0,0.8126666666666666
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,random,negative,1500,0,49,1451,0,0.9673333333333334,0.0,0.0,0.03266666666666666,0.9673333333333334,0.0,0.4836666666666667,0.0,0.03266666666666666
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,random,negative_related_present,840,0,41,799,0,0.9511904761904761,0.0,0.0,0.04880952380952381,0.9511904761904761,0.0,0.47559523809523807,0.0,0.04880952380952381
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,random,negative_absent_plain,660,0,8,652,0,0.9878787878787879,0.0,0.0,0.012121212121212121,0.9878787878787879,0.0,0.49393939393939396,0.0,0.012121212121212121
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,macro,all,9000,3656,369,4131,844,0.8652222222222222,0.9083229813664596,0.8124444444444444,0.082,0.918,0.8577126099706744,0.8652222222222222,0.7345480652766225,0.44722222222222224
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,macro,positive,4500,3656,0,0,844,0.8124444444444444,1.0,0.8124444444444444,0.0,0.0,0.8965179009318293,0.4062222222222222,0.0,0.8124444444444444
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,macro,negative,4500,0,369,4131,0,0.918,0.0,0.0,0.082,0.918,0.0,0.459,0.0,0.082
