method,score,selection_rate,selected_rows,detector_calls,detector_call_savings,split,subset,samples,tp,fp,tn,fn,accuracy,mcc,tpr,fpr,tnr,precision,f1,yes_rate
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.75,6750,6750,0.25,random,all,3000,1219,30,1470,281,0.8963333333333333,0.8040028021766263,0.8126666666666666,0.02,0.98,0.9759807846277022,0.8868679519825391,0.41633333333333333
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.75,6750,6750,0.25,random,negative_related_present,840,0,26,814,0,0.969047619047619,0.0,0.0,0.030952380952380953,0.969047619047619,0.0,0.0,0.030952380952380953
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.75,6750,6750,0.25,popular,all,3000,1219,68,1432,281,0.8836666666666667,0.7751885846185727,0.8126666666666666,0.04533333333333334,0.9546666666666667,0.9471639471639471,0.8747757445281664,0.429
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.75,6750,6750,0.25,popular,negative_related_present,980,0,60,920,0,0.9387755102040817,0.0,0.0,0.061224489795918366,0.9387755102040817,0.0,0.0,0.061224489795918366
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.75,6750,6750,0.25,adversarial,all,3000,1219,152,1348,281,0.8556666666666667,0.7139785259604879,0.8126666666666666,0.10133333333333333,0.8986666666666666,0.8891320204230488,0.8491814698711251,0.457
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.75,6750,6750,0.25,adversarial,negative_related_present,1272,0,145,1127,0,0.8860062893081762,0.0,0.0,0.1139937106918239,0.8860062893081762,0.0,0.0,0.1139937106918239
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.75,3037,3037,0.6625555555555556,macro,all,9000,3581,231,4269,919,0.8722222222222222,0.7533007110133778,0.7957777777777778,0.051333333333333335,0.9486666666666667,0.939401888772298,0.861645813282002,0.4235555555555556
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.75,3037,3037,0.6625555555555556,macro,negative_related_present,3092,0,214,2878,0,0.9307891332470892,0.0,0.0,0.06921086675291074,0.9307891332470892,0.0,0.0,0.06921086675291074
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.75,3037,3037,0.6625555555555556,random,all,3000,1194,28,1472,306,0.8886666666666667,0.7910374944643964,0.796,0.018666666666666668,0.9813333333333333,0.9770867430441899,0.8772961058045555,0.4073333333333333
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.75,3037,3037,0.6625555555555556,random,negative_related_present,840,0,24,816,0,0.9714285714285714,0.0,0.0,0.02857142857142857,0.9714285714285714,0.0,0.0,0.02857142857142857
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.75,3037,3037,0.6625555555555556,popular,all,3000,1194,63,1437,306,0.877,0.7640930905726349,0.796,0.042,0.958,0.9498806682577565,0.8661588683351469,0.419
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.75,3037,3037,0.6625555555555556,popular,negative_related_present,980,0,56,924,0,0.9428571428571428,0.0,0.0,0.05714285714285714,0.9428571428571428,0.0,0.0,0.05714285714285714
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.75,3037,3037,0.6625555555555556,adversarial,all,3000,1193,140,1360,307,0.851,0.7063915517619611,0.7953333333333333,0.09333333333333334,0.9066666666666666,0.894973743435859,0.8422167313801624,0.44433333333333336
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.75,3037,3037,0.6625555555555556,adversarial,negative_related_present,1272,0,134,1138,0,0.8946540880503144,0.0,0.0,0.10534591194968554,0.8946540880503144,0.0,0.0,0.10534591194968554
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.75,3037,0,1.0,macro,all,9000,989,23,4477,3511,0.6073333333333333,0.33975655315163217,0.21977777777777777,0.005111111111111111,0.9948888888888889,0.9772727272727273,0.35885341074020316,0.11244444444444444
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.75,3037,0,1.0,macro,negative_related_present,3092,0,22,3070,0,0.9928848641655886,0.0,0.0,0.0071151358344113845,0.9928848641655886,0.0,0.0,0.0071151358344113845
